               Entry              Nevents                           Time                    Temperature                         Energy                 CO*                   O*                   CO                  CO2
                   1                    0         0.0000000000000000E+00         1.9000000000000000E+02        -6.5422080000001256E+02                   0                  576                    0                    0
                   2                 1833         6.0000000000000000E+01         1.9000000000000000E+02        -1.4546011500000079E+03                 589                  571                 -594                    5
                   3                 3259         1.2000000000000000E+02         1.9000000000000000E+02        -1.6868681000000004E+03                 786                  566                 -796                   10
                   4                 4514         1.8000000000000000E+02         1.9000000000000000E+02        -1.7829837999999893E+03                 876                  553                 -899                   23
                   5                 5530         2.4000000000000000E+02         1.9000000000000000E+02        -1.8246017999999776E+03                 917                  540                 -953                   36
                   6                 6546         3.0000000000000000E+02         1.9000000000000000E+02        -1.8531789499999652E+03                 949                  528                 -997                   48
                   7                 7494         3.6000000000000000E+02         1.9000000000000000E+02        -1.8744015499999564E+03                 971                  521                -1026                   55
                   8                 8400         4.2000000000000000E+02         1.9000000000000000E+02        -1.8831479499999641E+03                 980                  516                -1040                   60
                   9                 9390         4.8000000000000000E+02         1.9000000000000000E+02        -1.8905923499999551E+03                 988                  509                -1055                   67
                  10                10326         5.4000000000000000E+02         1.9000000000000000E+02        -1.9010513499999563E+03                1000                  501                -1075                   75
                  11                11293         6.0000000000000000E+02         1.9000000000000000E+02        -1.9056171999999526E+03                1005                  494                -1087                   82
                  12                12217         6.6000000000000000E+02         1.9000000000000000E+02        -1.9183902999999473E+03                1020                  493                -1103                   83
                  13                13148         7.2000000000000000E+02         1.9000000000000000E+02        -1.9190005999999439E+03                1021                  486                -1111                   90
                  14                14078         7.8000000000000000E+02         1.9000000000000000E+02        -1.9255549999999423E+03                1030                  479                -1127                   97
                  15                15066         8.4000000000000000E+02         1.9000000000000000E+02        -1.9297576499999375E+03                1036                  472                -1140                  104
                  16                15975         9.0000000000000000E+02         1.9000000000000000E+02        -1.9377967499999304E+03                1045                  468                -1153                  108
                  17                16947         9.6000000000000000E+02         1.9000000000000000E+02        -1.9350819999999317E+03                1044                  456                -1164                  120
                  18                17887         1.0200000000000000E+03         1.9000000000000000E+02        -1.9454666499999341E+03                1055                  453                -1178                  123
                  19                18803         1.0800000000000000E+03         1.9000000000000000E+02        -1.9476075999999223E+03                1059                  446                -1189                  130
                  20                19673         1.1400000000000000E+03         1.9000000000000000E+02        -1.9529587499999270E+03                1066                  439                -1203                  137
                  21                20629         1.2000000000000000E+03         1.9000000000000000E+02        -1.9545618999999208E+03                1069                  434                -1211                  142
