,Nevents,Time (s),Reaction Index,mRNA Population,Protein Population
0,0,0.0,,0.0,0.0
1,1,0.4037017378155159,0.0,1.0,0.0
2,2,2.9820092318073392,2.0,0.0,0.0
3,3,13.881801358776409,0.0,1.0,0.0
4,4,22.155466084647202,0.0,2.0,0.0
5,5,29.89063671497315,2.0,1.0,0.0
6,6,31.172879354174565,1.0,1.0,1.0
7,7,32.319787805586905,2.0,0.0,1.0
8,8,62.27583516116934,0.0,1.0,1.0
9,9,63.1656730604245,0.0,2.0,1.0
10,10,63.623046022115155,2.0,1.0,1.0
11,11,67.20153451337366,1.0,1.0,2.0
12,12,69.21298326448681,0.0,2.0,2.0
13,13,69.9648510030383,1.0,2.0,3.0
14,14,74.75273612184283,2.0,1.0,3.0
15,15,82.04247861225262,0.0,2.0,3.0
16,16,85.24107679522763,1.0,2.0,4.0
17,17,90.83115774950693,0.0,3.0,4.0
18,18,91.85053969480545,0.0,4.0,4.0
19,19,91.99902933916462,1.0,4.0,5.0
20,20,93.07848990896731,0.0,5.0,5.0
21,21,93.28210183139504,1.0,5.0,6.0
22,22,93.3474265052084,2.0,4.0,6.0
23,23,93.78859604474334,2.0,3.0,6.0
24,24,95.6744513500813,1.0,3.0,7.0
25,25,96.4631474353898,2.0,2.0,7.0
26,26,97.17582751570836,1.0,2.0,8.0
27,27,98.83815872027364,2.0,1.0,8.0
28,28,100.69892618876723,3.0,1.0,7.0
29,29,102.98590757889768,2.0,0.0,7.0
30,30,118.93505681721278,0.0,1.0,7.0
31,31,120.8900217926491,1.0,1.0,8.0
32,32,128.01855319638557,2.0,0.0,8.0
33,33,130.1366151556958,0.0,1.0,8.0
34,34,131.2756656728693,2.0,0.0,8.0
35,35,132.3829819195096,0.0,1.0,8.0
36,36,133.88885172292106,0.0,2.0,8.0
37,37,136.85216266797792,0.0,3.0,8.0
38,38,141.3163717629137,0.0,4.0,8.0
39,39,142.33952358798257,0.0,5.0,8.0
40,40,142.51686728510842,0.0,6.0,8.0
41,41,143.42934684350735,2.0,5.0,8.0
42,42,144.26884390140677,1.0,5.0,9.0
43,43,144.30392278945365,1.0,5.0,10.0
44,44,146.09780288207602,1.0,5.0,11.0
45,45,148.93374445648595,0.0,6.0,11.0
46,46,149.81395417357328,2.0,5.0,11.0
47,47,150.43879237813204,1.0,5.0,12.0
48,48,152.1221616069482,1.0,5.0,13.0
49,49,152.72489053461754,2.0,4.0,13.0
50,50,153.03395706640583,1.0,4.0,14.0
51,51,154.6425569932471,2.0,3.0,14.0
52,52,154.9203818988829,0.0,4.0,14.0
53,53,156.35572414355624,1.0,4.0,15.0
54,54,159.49789573621638,1.0,4.0,16.0
55,55,160.96160391364396,1.0,4.0,17.0
56,56,161.83041549145022,1.0,4.0,18.0
57,57,164.86515103549434,2.0,3.0,18.0
58,58,165.01313068018337,2.0,2.0,18.0
59,59,167.66391902383427,1.0,2.0,19.0
60,60,169.50257381021544,0.0,3.0,19.0
61,61,172.42620129786218,2.0,2.0,19.0
62,62,173.15076072221407,2.0,1.0,19.0
63,63,178.311369007289,1.0,1.0,20.0
64,64,180.402503976657,1.0,1.0,21.0
65,65,184.04067769412543,0.0,2.0,21.0
66,66,193.03206125079856,0.0,3.0,21.0
67,67,193.77400385759563,2.0,2.0,21.0
68,68,195.9399001690774,2.0,1.0,21.0
69,69,196.90976358079715,2.0,0.0,21.0
70,70,199.1853117299901,0.0,1.0,21.0
71,71,204.42318677920034,1.0,1.0,22.0
72,72,213.5560297258864,1.0,1.0,23.0
